rank,feature,importance
482,t39_kp19_x,0.00029449
483,t02_kp21_x,0.00028923
484,t25_kp10_x,0.00028895
485,t42_kp14_y,0.00028791
486,t34_kp05_x,0.00028632
487,t10_kp12_x,0.00028601
488,t13_kp05_x,0.00028388
489,t43_kp03_x,0.00028314
490,t42_kp07_x,0.00027920
491,t03_kp29_x,0.00027742
492,t03_kp22_x,0.00027536
493,t07_kp01_x,0.00027529
494,t20_kp26_x,0.00027368
495,t08_kp16_x,0.00026851
496,t40_kp03_x,0.00026728
497,t05_kp28_x,0.00026721
498,t31_kp26_y,0.00026677
499,t28_kp21_x,0.00026662
500,t07_kp27_x,0.00026617
501,t37_kp17_x,0.00026570
502,t41_kp08_x,0.00026474
503,t16_kp26_x,0.00026410
504,t05_kp11_x,0.00026302
505,t32_kp01_x,0.00026025
506,t06_kp18_y,0.00025651
507,t19_kp03_x,0.00025585
508,t39_kp18_x,0.00025493
509,t08_kp00_x,0.00025464
510,t05_kp26_x,0.00025438
511,t14_kp00_x,0.00025392
512,t42_kp08_y,0.00025187
513,t44_kp23_x,0.00025012
514,t12_kp06_x,0.00025005
515,t28_kp12_x,0.00024923
516,t06_kp16_x,0.00024835
517,t27_kp27_x,0.00024756
518,t09_kp03_x,0.00024552
519,t22_kp26_x,0.00024494
520,t01_kp25_x,0.00024405
521,t37_kp01_x,0.00024274
522,t31_kp19_x,0.00024176
523,t26_kp05_x,0.00024103
524,t11_kp28_x,0.00023972
525,t16_kp30_x,0.00023949
526,t07_kp23_x,0.00023428
527,t02_kp17_x,0.00023416
528,t24_kp16_x,0.00023317
529,t43_kp02_x,0.00023268
530,t42_kp15_x,0.00023138
531,t29_kp04_x,0.00023129
532,t10_kp26_x,0.00023079
533,t28_kp10_x,0.00023058
534,t37_kp12_x,0.00022906
535,t13_kp29_x,0.00022843
536,t18_kp22_x,0.00022736
537,t15_kp31_x,0.00022718
538,t32_kp28_x,0.00022675
539,t06_kp30_x,0.00022533
540,t20_kp16_x,0.00022526
541,t41_kp02_x,0.00022371
542,t19_kp27_x,0.00022345
543,t08_kp11_x,0.00022257
544,t10_kp05_x,0.00022142
545,t42_kp17_x,0.00022133
546,t39_kp23_x,0.00022121
547,t25_kp19_x,0.00022031
548,t12_kp31_x,0.00021938
549,t04_kp05_x,0.00021909
550,t06_kp03_x,0.00021835
551,t39_kp11_x,0.00021576
552,t40_kp22_x,0.00021538
553,t40_kp19_x,0.00021523
554,t09_kp24_x,0.00021486
555,t21_kp30_x,0.00021483
556,t00_kp23_x,0.00021390
557,t39_kp12_x,0.00021195
558,t28_kp19_y,0.00021169
559,t10_kp07_x,0.00021159
560,t02_kp19_x,0.00021095
561,t30_kp17_x,0.00020985
562,t28_kp20_x,0.00020978
563,t20_kp32_x,0.00020893
564,t04_kp27_x,0.00020892
565,t37_kp23_x,0.00020880
566,t29_kp07_x,0.00020867
567,t03_kp30_x,0.00020858
568,t30_kp15_x,0.00020828
569,t06_kp29_x,0.00020750
570,t15_kp26_x,0.00020724
571,t18_kp25_x,0.00020723
572,t28_kp16_x,0.00020616
573,t23_kp26_x,0.00020610
574,t01_kp28_x,0.00020563
575,t43_kp17_x,0.00020481
576,t03_kp08_x,0.00020478
577,t38_kp06_x,0.00020420
578,t20_kp07_x,0.00020380
579,t29_kp00_x,0.00020377
580,t34_kp17_x,0.00020339
581,t31_kp15_x,0.00020294
582,t01_kp21_x,0.00020274
583,t42_kp02_y,0.00019893
584,t44_kp24_x,0.00019889
585,t08_kp24_x,0.00019845
586,t15_kp04_x,0.00019836
587,t36_kp18_y,0.00019831
588,t04_kp26_x,0.00019790
589,t25_kp25_x,0.00019631
590,t05_kp06_x,0.00019551
591,t35_kp15_x,0.00019477
592,t14_kp31_x,0.00019424
593,t40_kp15_x,0.00019246
594,t44_kp07_x,0.00019232
595,t21_kp32_x,0.00018939
596,t33_kp11_x,0.00018918
597,t41_kp12_x,0.00018902
598,t15_kp20_x,0.00018806
599,t01_kp27_x,0.00018795
600,t37_kp06_y,0.00018790
601,t06_kp18_x,0.00018783
602,t25_kp12_x,0.00018626
603,t40_kp10_x,0.00018514
604,t12_kp15_x,0.00018453
605,t13_kp13_x,0.00018418
606,t22_kp28_x,0.00018388
607,t14_kp26_x,0.00018341
608,t02_kp25_x,0.00018246
609,t44_kp16_x,0.00018223
610,t01_kp17_x,0.00018050
611,t34_kp13_x,0.00018007
612,t36_kp04_x,0.00017809
613,t33_kp16_x,0.00017783
614,t27_kp03_x,0.00017654
615,t42_kp05_x,0.00017585
616,t06_kp27_x,0.00017425
617,t38_kp13_x,0.00017411
618,t04_kp31_x,0.00017409
619,t02_kp29_x,0.00017246
620,t22_kp29_x,0.00017183
621,t42_kp13_x,0.00017120
622,t36_kp05_x,0.00017093
623,t26_kp08_x,0.00016945
624,t37_kp16_x,0.00016942
625,t32_kp06_x,0.00016930
626,t31_kp22_x,0.00016723
627,t32_kp20_x,0.00016689
628,t42_kp19_x,0.00016566
629,t06_kp05_x,0.00016529
630,t14_kp12_x,0.00016505
631,t13_kp19_x,0.00016443
632,t19_kp22_x,0.00016353
633,t02_kp20_x,0.00016336
634,t34_kp17_y,0.00016325
635,t00_kp22_x,0.00016304
636,t27_kp32_x,0.00016273
637,t07_kp26_x,0.00016265
638,t09_kp20_x,0.00016172
639,t23_kp31_x,0.00016147
640,t41_kp23_y,0.00016114
641,t00_kp30_x,0.00015986
642,t08_kp31_x,0.00015971
643,t10_kp22_x,0.00015875
644,t00_kp28_x,0.00015863
645,t41_kp26_y,0.00015845
646,t38_kp24_x,0.00015836
647,t05_kp09_x,0.00015830
648,t41_kp21_x,0.00015810
649,t33_kp17_x,0.00015736
650,t27_kp26_x,0.00015696
651,t42_kp10_x,0.00015634
652,t00_kp20_x,0.00015588
653,t36_kp10_x,0.00015581
654,t15_kp17_x,0.00015578
655,t44_kp04_y,0.00015567
656,t08_kp02_x,0.00015535
657,t36_kp06_x,0.00015475
658,t10_kp31_x,0.00015458
659,t35_kp02_x,0.00015439
660,t43_kp23_x,0.00015433
661,t25_kp18_x,0.00015391
662,t20_kp25_x,0.00015369
663,t00_kp18_x,0.00015320
664,t11_kp31_x,0.00015316
665,t21_kp05_x,0.00015295
666,t23_kp27_x,0.00015282
667,t37_kp07_y,0.00015267
668,t31_kp00_x,0.00015220
669,t42_kp20_x,0.00015166
670,t37_kp13_x,0.00015121
671,t43_kp07_x,0.00015032
672,t40_kp00_y,0.00014968
673,t33_kp05_x,0.00014806
674,t40_kp11_x,0.00014789
675,t38_kp23_x,0.00014762
676,t16_kp15_x,0.00014747
677,t00_kp05_x,0.00014736
678,t04_kp23_x,0.00014695
679,t40_kp23_y,0.00014682
680,t21_kp07_x,0.00014635
681,t13_kp11_x,0.00014575
682,t27_kp08_x,0.00014566
683,t34_kp02_x,0.00014560
684,t35_kp08_y,0.00014436
685,t16_kp27_x,0.00014420
686,t13_kp07_x,0.00014379
687,t16_kp04_x,0.00014344
688,t36_kp16_x,0.00014343
689,t35_kp10_x,0.00014334
690,t22_kp30_x,0.00014314
691,t07_kp12_x,0.00014279
692,t23_kp04_x,0.00014184
693,t11_kp27_x,0.00014173
694,t33_kp00_x,0.00014149
695,t44_kp08_y,0.00014131
696,t18_kp10_x,0.00014101
697,t35_kp20_x,0.00014092
698,t42_kp08_x,0.00014052
699,t07_kp11_x,0.00014049
700,t27_kp25_x,0.00014026
701,t30_kp05_y,0.00013916
702,t28_kp20_y,0.00013876
703,t14_kp28_x,0.00013861
704,t38_kp05_x,0.00013842
705,t43_kp04_y,0.00013820
706,t05_kp30_x,0.00013817
707,t31_kp29_x,0.00013806
708,t36_kp12_x,0.00013736
709,t32_kp19_x,0.00013701
710,t19_kp17_x,0.00013661
711,t12_kp12_x,0.00013649
712,t17_kp11_x,0.00013639
713,t08_kp23_x,0.00013636
714,t23_kp32_x,0.00013611
715,t42_kp23_x,0.00013602
716,t15_kp18_x,0.00013598
717,t41_kp18_x,0.00013584
