rank,feature,importance
296,t04_kp27_y,0.00029498
297,t01_kp22_x,0.00029263
298,t02_kp04_x,0.00029240
299,t13_kp23_y,0.00029139
300,t10_kp16_x,0.00028740
301,t09_kp30_x,0.00028561
302,t06_kp12_x,0.00028498
303,t15_kp08_y,0.00028387
304,t08_kp20_y,0.00028299
305,t07_kp12_x,0.00028104
306,t04_kp06_x,0.00027928
307,t13_kp17_x,0.00027781
308,t02_kp13_y,0.00027626
309,t13_kp22_y,0.00026914
310,t09_kp18_y,0.00026890
311,t10_kp05_y,0.00026834
312,t08_kp18_x,0.00026742
313,t10_kp21_x,0.00026542
314,t05_kp27_x,0.00026505
315,t01_kp12_y,0.00026392
316,t05_kp12_x,0.00026093
317,t13_kp21_y,0.00025962
318,t05_kp16_y,0.00025545
319,t14_kp11_y,0.00025296
320,t06_kp19_x,0.00025166
321,t13_kp04_y,0.00025129
322,t03_kp16_x,0.00024948
323,t08_kp05_x,0.00024904
324,t04_kp15_y,0.00024407
325,t13_kp06_y,0.00024271
326,t10_kp07_x,0.00023733
327,t08_kp02_x,0.00023571
328,t14_kp21_y,0.00023546
329,t10_kp23_x,0.00023373
330,t02_kp11_x,0.00023280
331,t14_kp27_x,0.00023256
332,t09_kp23_x,0.00023252
333,t11_kp00_x,0.00023123
334,t02_kp32_x,0.00022771
335,t15_kp11_y,0.00022766
336,t11_kp00_y,0.00022730
337,t05_kp18_x,0.00022597
338,t07_kp03_x,0.00022529
339,t07_kp30_y,0.00022447
340,t14_kp28_y,0.00022164
341,t06_kp02_x,0.00022051
342,t13_kp27_y,0.00021906
343,t10_kp04_x,0.00021480
344,t07_kp18_x,0.00021287
345,t07_kp01_y,0.00021281
346,t08_kp29_x,0.00021278
347,t04_kp01_x,0.00021264
348,t15_kp12_y,0.00021124
349,t15_kp00_y,0.00021004
350,t15_kp05_y,0.00020616
351,t00_kp26_x,0.00020520
352,t14_kp16_y,0.00020354
353,t08_kp17_x,0.00020332
354,t00_kp01_y,0.00020270
355,t06_kp10_x,0.00020231
356,t03_kp08_y,0.00020180
357,t14_kp11_x,0.00019589
358,t08_kp14_y,0.00019571
359,t10_kp22_y,0.00019527
360,t11_kp20_y,0.00019285
361,t10_kp05_x,0.00019276
362,t01_kp26_x,0.00019073
363,t07_kp19_y,0.00018962
364,t01_kp29_y,0.00018939
365,t10_kp02_y,0.00018795
366,t14_kp06_y,0.00018776
367,t14_kp22_y,0.00018774
368,t08_kp19_y,0.00018709
369,t05_kp26_x,0.00018702
370,t03_kp17_x,0.00018669
371,t02_kp10_x,0.00018612
372,t02_kp30_x,0.00018569
373,t09_kp22_x,0.00018466
374,t11_kp06_x,0.00018391
375,t13_kp26_y,0.00018245
376,t02_kp14_x,0.00018103
377,t01_kp21_x,0.00017955
378,t08_kp03_y,0.00017853
379,t11_kp07_x,0.00017814
380,t15_kp01_y,0.00017541
381,t05_kp19_x,0.00017451
382,t01_kp09_x,0.00017366
383,t08_kp22_x,0.00017186
384,t02_kp25_y,0.00016674
385,t00_kp11_y,0.00016552
386,t01_kp30_x,0.00016248
387,t08_kp04_x,0.00016156
388,t10_kp31_x,0.00016015
389,t02_kp30_y,0.00015936
390,t12_kp05_y,0.00015906
391,t14_kp15_y,0.00015824
392,t00_kp20_y,0.00015765
393,t14_kp24_x,0.00015672
394,t03_kp28_x,0.00015155
395,t04_kp26_y,0.00015132
396,t05_kp23_y,0.00015024
397,t10_kp13_x,0.00014959
398,t03_kp06_y,0.00014761
399,t06_kp29_y,0.00014628
400,t06_kp17_y,0.00014370
401,t00_kp25_x,0.00014262
402,t13_kp00_x,0.00014248
403,t07_kp11_y,0.00014085
404,t12_kp25_y,0.00013932
405,t00_kp06_y,0.00013851
406,t09_kp14_y,0.00013804
407,t11_kp30_x,0.00013430
408,t12_kp08_y,0.00013393
409,t08_kp01_x,0.00013343
410,t12_kp09_y,0.00013340
411,t02_kp07_y,0.00013312
412,t01_kp13_y,0.00013245
413,t03_kp11_x,0.00013189
414,t00_kp04_y,0.00013150
415,t03_kp14_x,0.00013145
416,t09_kp21_x,0.00013021
417,t14_kp27_y,0.00012931
418,t09_kp13_y,0.00012808
419,t14_kp05_y,0.00012803
420,t09_kp10_y,0.00012761
421,t02_kp05_y,0.00012678
422,t07_kp01_x,0.00012578
423,t02_kp31_x,0.00012542
424,t09_kp00_y,0.00012468
425,t12_kp04_y,0.00012371
426,t14_kp10_y,0.00012193
427,t09_kp20_y,0.00011958
428,t10_kp22_x,0.00011940
429,t00_kp08_y,0.00011891
430,t12_kp26_y,0.00011692
431,t03_kp15_x,0.00011691
432,t11_kp23_x,0.00011352
433,t15_kp01_x,0.00010960
434,t05_kp27_y,0.00010955
435,t07_kp02_x,0.00010940
436,t03_kp15_y,0.00010836
437,t13_kp25_x,0.00010756
438,t04_kp12_x,0.00010676
439,t06_kp18_x,0.00010638
440,t09_kp19_x,0.00010627
441,t12_kp06_x,0.00010585
442,t01_kp05_y,0.00010511
443,t10_kp24_x,0.00010456
444,t13_kp30_y,0.00010449
445,t05_kp26_y,0.00010440
446,t11_kp03_y,0.00010387
447,t05_kp02_x,0.00010269
448,t08_kp30_y,0.00010051
449,t03_kp29_x,0.00009999
450,t14_kp31_y,0.00009760
451,t02_kp06_y,0.00009739
452,t00_kp08_x,0.00009686
453,t04_kp05_y,0.00009674
454,t07_kp14_y,0.00009647
455,t01_kp03_y,0.00009601
456,t13_kp16_x,0.00009478
457,t10_kp01_y,0.00009453
458,t12_kp22_y,0.00009390
459,t02_kp13_x,0.00009301
460,t03_kp25_y,0.00009282
461,t04_kp14_y,0.00009270
462,t14_kp07_x,0.00009246
463,t13_kp05_y,0.00009223
464,t08_kp00_x,0.00009216
465,t05_kp00_y,0.00009197
466,t05_kp14_y,0.00009195
467,t07_kp17_x,0.00009178
468,t08_kp11_x,0.00009161
469,t14_kp14_x,0.00009148
470,t01_kp09_y,0.00009126
471,t14_kp32_y,0.00009125
472,t02_kp29_y,0.00009050
473,t04_kp29_x,0.00009026
474,t04_kp14_x,0.00009007
475,t05_kp13_x,0.00008956
476,t01_kp02_y,0.00008913
477,t12_kp09_x,0.00008894
478,t07_kp19_x,0.00008873
479,t06_kp11_y,0.00008851
480,t03_kp09_x,0.00008843
481,t05_kp25_x,0.00008791
482,t01_kp24_y,0.00008774
483,t07_kp21_x,0.00008674
484,t11_kp04_y,0.00008669
485,t01_kp11_y,0.00008649
486,t05_kp17_y,0.00008642
487,t14_kp15_x,0.00008633
488,t03_kp26_x,0.00008626
489,t10_kp10_x,0.00008617
490,t01_kp08_y,0.00008445
491,t14_kp25_x,0.00008398
492,t13_kp23_x,0.00008288
493,t09_kp30_y,0.00008256
494,t11_kp19_x,0.00008249
495,t11_kp25_y,0.00008237
496,t12_kp31_y,0.00008162
497,t12_kp15_x,0.00008098
498,t06_kp17_x,0.00008036
499,t06_kp16_x,0.00007925
500,t09_kp01_y,0.00007889
501,t08_kp13_y,0.00007882
502,t00_kp01_x,0.00007878
503,t14_kp14_y,0.00007843
504,t09_kp00_x,0.00007622
505,t07_kp29_y,0.00007566
506,t08_kp00_y,0.00007565
507,t09_kp17_x,0.00007535
508,t00_kp00_y,0.00007533
509,t13_kp30_x,0.00007493
510,t01_kp26_y,0.00007468
511,t13_kp14_x,0.00007418
512,t07_kp08_y,0.00007274
513,t01_kp21_y,0.00007179
514,t02_kp16_y,0.00007164
515,t08_kp01_y,0.00007145
516,t02_kp06_x,0.00007127
517,t02_kp03_y,0.00007099
518,t14_kp09_x,0.00007016
519,t04_kp15_x,0.00006996
520,t11_kp08_y,0.00006975
521,t01_kp22_y,0.00006960
522,t02_kp19_x,0.00006916
523,t02_kp23_y,0.00006837
524,t00_kp09_y,0.00006835
525,t03_kp13_x,0.00006828
526,t00_kp27_y,0.00006822
527,t14_kp13_y,0.00006812
528,t15_kp06_x,0.00006787
529,t15_kp12_x,0.00006786
530,t15_kp08_x,0.00006708
531,t09_kp04_x,0.00006678
532,t13_kp07_x,0.00006668
533,t11_kp25_x,0.00006667
534,t06_kp00_x,0.00006667
535,t01_kp07_x,0.00006636
536,t10_kp27_y,0.00006605
537,t02_kp23_x,0.00006572
538,t00_kp10_y,0.00006569
539,t02_kp22_x,0.00006555
540,t02_kp01_y,0.00006536
541,t08_kp20_x,0.00006529
542,t06_kp14_x,0.00006523
543,t03_kp11_y,0.00006511
544,t06_kp16_y,0.00006506
545,t05_kp29_y,0.00006485
546,t04_kp11_y,0.00006482
547,t03_kp30_y,0.00006477
548,t04_kp09_y,0.00006422
549,t05_kp30_y,0.00006359
550,t10_kp19_y,0.00006354
551,t07_kp02_y,0.00006322
552,t00_kp29_x,0.00006306
553,t05_kp03_y,0.00006285
554,t02_kp26_y,0.00006248
555,t06_kp01_x,0.00006196
556,t05_kp16_x,0.00006178
557,t12_kp26_x,0.00006164
558,t10_kp24_y,0.00006148
559,t01_kp06_y,0.00006133
560,t02_kp12_x,0.00006125
561,t12_kp29_x,0.00006104
562,t02_kp27_y,0.00006098
563,t04_kp25_y,0.00006093
564,t01_kp20_y,0.00006088
565,t02_kp22_y,0.00006073
566,t07_kp32_x,0.00005987
567,t12_kp22_x,0.00005977
568,t06_kp10_y,0.00005956
569,t10_kp18_y,0.00005944
570,t14_kp08_x,0.00005937
571,t00_kp18_y,0.00005920
572,t12_kp28_y,0.00005879
573,t13_kp09_y,0.00005876
574,t08_kp02_y,0.00005873
575,t02_kp14_y,0.00005859
576,t00_kp26_y,0.00005793
577,t14_kp17_x,0.00005706
578,t15_kp09_x,0.00005648
579,t08_kp11_y,0.00005630
580,t04_kp13_x,0.00005620
581,t00_kp29_y,0.00005618
582,t02_kp10_y,0.00005615
583,t05_kp12_y,0.00005602
584,t07_kp15_y,0.00005595
585,t10_kp23_y,0.00005561
586,t14_kp16_x,0.00005527
587,t09_kp26_x,0.00005495
588,t00_kp22_y,0.00005478
589,t05_kp18_y,0.00005467
590,t13_kp02_x,0.00005460
591,t06_kp13_x,0.00005456
592,t04_kp24_y,0.00005409
593,t14_kp00_x,0.00005372
594,t05_kp28_x,0.00005364
595,t12_kp13_x,0.00005359
596,t07_kp13_y,0.00005341
597,t05_kp14_x,0.00005322
598,t03_kp20_y,0.00005315
599,t12_kp23_x,0.00005310
600,t06_kp06_y,0.00005305
601,t03_kp08_x,0.00005269
602,t01_kp29_x,0.00005264
603,t08_kp29_y,0.00005261
604,t07_kp12_y,0.00005231
605,t05_kp13_y,0.00005218
606,t06_kp30_x,0.00005200
607,t01_kp05_x,0.00005198
608,t02_kp28_y,0.00005195
609,t06_kp03_y,0.00005183
610,t10_kp11_x,0.00005112
611,t12_kp24_x,0.00005107
612,t05_kp10_y,0.00005103
613,t14_kp10_x,0.00005100
614,t01_kp28_y,0.00005072
615,t05_kp02_y,0.00005068
616,t01_kp27_x,0.00005058
617,t03_kp17_y,0.00005038
618,t03_kp24_y,0.00005027
619,t01_kp13_x,0.00004971
620,t10_kp12_x,0.00004968
621,t05_kp00_x,0.00004968
622,t03_kp32_x,0.00004956
623,t12_kp12_x,0.00004927
624,t04_kp03_y,0.00004825
625,t00_kp24_y,0.00004809
626,t04_kp16_x,0.00004788
