rank,feature,importance
346,t54_kp12_x,0.00062382
347,t06_kp06_y,0.00060820
348,t01_kp00_y,0.00060510
349,t25_kp08_y,0.00060230
350,t03_kp19_y,0.00059842
351,t12_kp00_y,0.00059802
352,t18_kp12_y,0.00059503
353,t55_kp13_x,0.00059375
354,t56_kp19_x,0.00059353
355,t01_kp11_y,0.00058679
356,t11_kp03_y,0.00058514
357,t56_kp11_x,0.00058503
358,t09_kp07_y,0.00058162
359,t12_kp03_y,0.00058157
360,t19_kp09_y,0.00058063
361,t19_kp02_y,0.00057986
362,t26_kp06_y,0.00057671
363,t12_kp12_y,0.00057080
364,t09_kp08_y,0.00056764
365,t21_kp03_y,0.00056141
366,t50_kp09_x,0.00055886
367,t17_kp03_y,0.00055799
368,t01_kp10_y,0.00055381
369,t26_kp12_y,0.00055314
370,t08_kp12_y,0.00055064
371,t00_kp04_y,0.00054823
372,t04_kp06_y,0.00054566
373,t06_kp02_y,0.00054526
374,t15_kp11_y,0.00054444
375,t03_kp00_y,0.00054425
376,t13_kp12_y,0.00054281
377,t14_kp07_y,0.00053858
378,t57_kp08_x,0.00053786
379,t16_kp18_y,0.00053694
380,t00_kp02_y,0.00053453
381,t08_kp08_y,0.00053347
382,t51_kp10_x,0.00053331
383,t08_kp21_y,0.00053303
384,t14_kp20_y,0.00053283
385,t01_kp08_y,0.00052848
386,t06_kp00_y,0.00052724
387,t21_kp07_y,0.00052633
388,t02_kp09_y,0.00052526
389,t18_kp07_y,0.00052484
390,t06_kp10_y,0.00052420
391,t17_kp21_y,0.00052407
392,t09_kp06_y,0.00052375
393,t54_kp21_x,0.00052263
394,t12_kp10_y,0.00052259
395,t07_kp03_y,0.00052230
396,t14_kp06_y,0.00052034
397,t23_kp10_y,0.00051716
398,t18_kp20_y,0.00051292
399,t08_kp02_y,0.00051289
400,t10_kp09_y,0.00051281
401,t14_kp18_y,0.00051234
402,t19_kp03_y,0.00051167
403,t57_kp00_x,0.00051153
404,t13_kp05_y,0.00051126
405,t20_kp08_y,0.00051089
406,t47_kp10_x,0.00051005
407,t19_kp04_y,0.00050752
408,t01_kp04_y,0.00050553
409,t11_kp00_y,0.00050305
410,t04_kp08_y,0.00050193
411,t48_kp21_x,0.00050116
412,t02_kp08_y,0.00050115
413,t24_kp05_y,0.00049756
414,t22_kp08_y,0.00049707
415,t09_kp00_y,0.00049579
416,t03_kp02_y,0.00048947
417,t22_kp12_y,0.00048921
418,t11_kp19_y,0.00048854
419,t18_kp01_y,0.00048729
420,t18_kp18_y,0.00048288
421,t46_kp17_x,0.00048060
422,t04_kp04_y,0.00047545
423,t22_kp02_y,0.00047461
424,t48_kp17_x,0.00047429
425,t10_kp17_y,0.00047183
426,t02_kp01_y,0.00047170
427,t17_kp18_y,0.00047005
428,t58_kp17_x,0.00046972
429,t07_kp11_y,0.00046887
430,t20_kp18_y,0.00046721
431,t07_kp28_x,0.00046509
432,t23_kp05_y,0.00046221
433,t03_kp01_y,0.00046164
434,t44_kp21_x,0.00046160
435,t42_kp11_x,0.00046142
436,t09_kp15_y,0.00046049
437,t11_kp21_y,0.00046015
438,t23_kp08_y,0.00045971
439,t22_kp01_y,0.00045801
440,t08_kp05_y,0.00045414
441,t58_kp11_x,0.00045356
442,t48_kp19_x,0.00045350
443,t20_kp07_y,0.00045341
444,t10_kp05_y,0.00044862
445,t10_kp19_y,0.00044836
446,t16_kp22_y,0.00044677
447,t56_kp21_x,0.00044598
448,t47_kp13_x,0.00044579
449,t00_kp06_y,0.00043763
450,t09_kp05_y,0.00043736
451,t50_kp19_y,0.00043572
452,t47_kp24_y,0.00043337
453,t04_kp02_y,0.00043112
