rank,feature,importance
269,t26_kp17_x,0.00067416
270,t15_kp31_x,0.00066918
271,t28_kp02_y,0.00066782
272,t21_kp12_y,0.00066141
273,t20_kp17_x,0.00065345
274,t27_kp17_x,0.00064499
275,t20_kp21_y,0.00064442
276,t03_kp22_x,0.00064431
277,t10_kp11_y,0.00064408
278,t11_kp19_y,0.00064277
279,t14_kp22_x,0.00064068
280,t27_kp20_x,0.00063763
281,t24_kp31_x,0.00063755
282,t17_kp31_x,0.00063754
283,t13_kp15_y,0.00063264
284,t25_kp02_y,0.00063077
285,t01_kp02_y,0.00062824
286,t05_kp20_x,0.00062512
287,t28_kp23_y,0.00062362
288,t12_kp21_y,0.00062121
289,t26_kp07_y,0.00062021
290,t22_kp15_y,0.00061843
291,t25_kp28_y,0.00061547
292,t15_kp21_y,0.00060835
293,t27_kp05_y,0.00060719
294,t12_kp15_y,0.00060696
295,t16_kp18_x,0.00060555
296,t15_kp16_x,0.00060522
297,t25_kp31_y,0.00060496
298,t22_kp30_y,0.00060016
299,t27_kp23_y,0.00059894
300,t16_kp31_x,0.00059635
301,t29_kp17_x,0.00059237
302,t14_kp15_y,0.00059061
303,t13_kp17_y,0.00058926
304,t18_kp07_y,0.00058723
305,t26_kp20_x,0.00058545
306,t18_kp13_y,0.00058300
307,t00_kp02_y,0.00058216
308,t00_kp11_y,0.00058210
309,t22_kp18_x,0.00058171
310,t05_kp12_y,0.00058136
311,t20_kp31_x,0.00057964
312,t18_kp18_x,0.00057713
313,t02_kp11_y,0.00057229
314,t27_kp12_y,0.00057140
315,t11_kp15_y,0.00056945
316,t29_kp32_y,0.00056759
317,t07_kp14_x,0.00056057
318,t08_kp17_y,0.00056003
319,t15_kp29_x,0.00055928
320,t06_kp20_x,0.00055785
321,t21_kp27_y,0.00055748
322,t29_kp12_y,0.00055622
323,t00_kp08_y,0.00055554
324,t11_kp11_y,0.00055503
325,t01_kp07_x,0.00055424
326,t28_kp28_y,0.00055287
327,t28_kp12_y,0.00055140
328,t25_kp07_y,0.00054625
329,t27_kp32_y,0.00054549
330,t29_kp17_y,0.00054288
331,t00_kp04_y,0.00054251
332,t28_kp03_y,0.00053972
333,t16_kp27_x,0.00053938
334,t26_kp31_x,0.00053766
335,t24_kp23_y,0.00053705
336,t18_kp30_y,0.00053612
